No.	SKU	Barcode	Name	Brand	Quantity
1	422211640	8.93853E+12	Bông tẩy trang tròn Hotosu 150M	HOTOSU	10727
2	357100003	4.51357E+12	HATOMUGI Sữa Tắm Sáng Da Reihaku 800ml	HATOMUGI	6202
3	422207865	3.49932E+12	Cetaphil Gentle Skin Cleanser 125ml new	CETAPHIL	5377
4	205100137	6.92882E+12	L'Oreal Micellar Water REFRESHSING Even For Sensitive Skin 400ml	L'OREAL	5152
5	422208973	3.33788E+12	MB096222 CERAVE FOAMING CLEANSER 473ml (101167969)	CeraVe	4306
6	205100146	6.9024E+12	L'Oreal Micellar Water DEEP CLEANSING Even For Sensitive Skin 400ml	L'OREAL	3754
7	422208972	3.33788E+12	MB094622 CERAVE FOAMING CLEANSER 236ml (101167963)	CeraVe	3640
8	253900006	8.80958E+12	Skin1004 Madagascar Centella Air-Fit SunCream 50ml 	skin1004	3631
9	318900012	8.80912E+12	Klairs Supple Preparation Unscented Toner 180ml	Klairs	3421
10	243300007	8.69128E+12	Ipek - ‪IPEK Bông tẩy trang 150 miếng	IPEK IDROFIL PAMUK	3266
11	422204795	8.80942E+12	COSRX Low pH Good Morning Cleanser	COSRX	2870
12	422211239	8.85709E+12	Muối sữa spa ABonne 350g (Có vòi)	ABonne	2549
13	422208974	3.33788E+12	MB096124 CERAVE FOAMING CLEANSER 88ml (101167968)	CeraVe	2460
14	422211183	8.99499E+12	[NEW] NƯỚC TẨY TRANG GARNIER MCL SALICYLIC BHA 400 ml	GARNIER	2235
15	224100009	8.93501E+12	Hadalabo - SRM dưỡng ẩm Advanced Nourish -80g	HADALABO	2188
16	297700005	4.90187E+12	Anessa Perfect Uv Mild Milk 60ml 17853	ANESSA	2154
17	422206430	4.90998E+12	ANESSA 18523 PERFECT UV SUNSCREEN SKINCARE MILK N 60ml	ANESSA	2143
18	211300007	5.01145E+12	SIMPLE REFESHING FACIAL WASH 150ml	SIMPLE	2013
19	204900013	3.33788E+12	LA ROCHE-POSAY M9159120 Anthelios Xl SPF50+ Dry Touch Gel-Cream Anti-Shine 50ML	LA ROCHE-POSAY	1957
20	422212410	2E+12	[Gift] Sữa dưỡng thể Vaseline Gluta-Hya 70ml (mẫu ngẫu nhiên)	VASELINE	1849
21	308100015	8.93622E+12	Cocoon Dak Lak Coffee Body Polish 200ml	COCOON	1756
22	422204816	8.93503E+12	DR BW Damage Hair (Pink_Y19) 120ml	DOUBLE RICH	1701
23	327500002	8.93604E+12	Megaduo Gel 15g 	 Gamma Chemicals	1611
24	205100136	6.92882E+12	L'Oreal Micellar Water MOISTURIZING Even For Sensitive Skin 400ml	L'OREAL	1611
25	422210400	8.99499E+12	L'OREAL UV DEFD Shaka 50ml AS	L'OREAL	1504
26	249500007	8.93501E+12	sunplay Sữa chống nắng  (Skin Aqua-Clear White SPF50)  55g	sunplay	1487
27	422214304	8.93527E+12	[GIFT] BÔNG TẨY TRANG CALLA COTTON PAD (150 MIẾNG/TÚI) (ZVN01735)	L'OREAL	1430
28	100190059	3.33787E+12	LA ROCHE-POSAY Effaclar Gel Moussant Purifiant 50ml M9057420	LA ROCHE-POSAY	1430
29	422216765		[GIFT] KHÔNG BÁN LA ROCHE-POSAY MB164400 Thermal Spring Water Sensitive Skin 50g (Trắng) 3337875665582	LA ROCHE-POSAY	1412
30	422209322	3.49932E+12	Cetaphil Gentle Skin Cleanser 500ml New	CETAPHIL	1278
31	422205355		Cocoon Comno 2 Hũ Dak Lak Coffee Body Polish 200ml	COCOON	1228
32	222500003	8.80893E+12	BNBG - Vita Genic WHITENING Jelly Mask (Vàng) - 3	BNBG	1207
33	308100019	8.93622E+12	Cocoon Son Dưỡng Dầu Dừa 	COCOON	1089
34	422204904	6.9024E+12	GARNIER TAY TRANG SACH SAU OIL 400ML	GARNIER	1064
35	224200002	8.93501E+12	Selsun 1% Selenium Sulfide Anti-Dandruff Shampoo 100ml	SELSUN	1035
36	256700011	8.93609E+12	Milaganics Extra Virgin Coconut Oil Mascara  5ml	Milaganics	1023
37	422215645	8.80959E+12	Median Tartar Protection Toothpaste - White/ Trắng bạc 310051411	Median	1005
38	422208975	3.33788E+12	MB096020 CERAVE HYDRATING CLEANSER 473ml (101167967)	CeraVe	991
39	308500004	4.71154E+12	NARUKO Tea Tree Shine Control & Blemish clear Mask 	NARUKO	963
40	422204884		Cocoon Combo 2chai Nước Tẩy Trang Bí Đao 500ml	COCOON	961
41	422208181	8.93604E+12	Megaduo Plus Gel 15g	 Gamma Chemicals	950
42	422216741		[GIFT] KHÔNG BÁN ] LA ROCHE-POSAY MB148000 Hyalu B5 Serum 10ML 30165021	LA ROCHE-POSAY	948
43	100230069	4.90311E+12	Silcot Bông tẩy trang cơ bản (hộp xanh dương)-82 miếng	SILCOT	935
44	100220035	6.55439E+11	PAULA'S CHOICE Skin Perfecting 2% BHA 30ml [2016]	PAULA'S CHOICE	914
45	351700026	8.80942E+12	Huxley Scrub Mask : Sweet Therapy 30g (Minisize)	Huxley	908
46	422216766		[GIFT] KHÔNG BÁN LA ROCHE-POSAY  MINI MICELLAR WATER ULTRA OILY SKIN M3086401  50ml 3337872415821	LA ROCHE-POSAY	858
47	422206103	8.80976E+12	Foodaholic Retinol Anti Acnes Mask 23ml	Foodaholic 	853
48	422206248	8.71045E+12	SIMPLE gel rửa mặt cho da mụn nhạy cảm & không chứa xà phòng 150ml/6	SIMPLE	842
49	222500001	8.80893E+12	BNBG - Vita Genic LIFTING Jelly Mask (Đỏ) - 4	BNBG	842
50	205100010	6.9237E+12	(NGƯNG KD) L'Oreal Micellar Water REFRESHSING Even For Sensitive Skin 95ml	L'OREAL	841
51	422215572		[GIFT] ANESSA Brightening UV Sunscreen Gel N SPF50+ 15g	ANESSA	818
52	200900037		CETAPHIL Gentle Skin Cleanser 59ML	CETAPHIL	796
53	422212604		Sunplay Skin Aqua UV Body Lotion 15g	sunplay	741
54	301500004	8.93612E+12	Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngày Dài Tươi Mát Tinh Chất Lá Trầu Không 150ml	LACTACYD	716
55	371600006	5.01237E+12	Serum Vitamin C Balance Active Formula Dưỡng Sáng Da, Mờ Thâm	BALANCE ACTIVE FORMULA	714
